onset	duration	stimtype
0	24	RE
24	24	LE
48	24	RE
72	24	LE
96	24	RE
120	24	LE
144	24	RE
168	24	LE
192	24	RE
216	24	LE
240	24	RE
264	24	LE
288	24	RE
312	24	LE
