onset	duration	stimtype
0	24	LE
24	24	RE
48	24	LE
72	24	RE
96	24	LE
120	24	RE
144	24	LE
168	24	RE
192	24	LE
216	24	RE
240	24	LE
264	24	RE
288	24	LE
312	24	RE
